S:all,I1:all,I2:all,R1:all,R2:all,S1:all,S2:all,I12:all,I21:all,beta:all,psi:all,i:all,gamma:all,alpha:all,e:all,d:all,sto:all,rep:MadeiraMildCases__ecdc__inc,rep:MadeiraSevereCases__ecdc__inc,phi:all
1.60136,0.162882,0.014753,-0.00505296,-0.225667,-0.0088442,-0.375715,0,0,0.0146952,-0.270248,0.0680585,-0.0317456,-0.0493536,0.0149542,-0.0195659,0,-0.0489843,0.0883894,0
0.162882,3.12402,0.0781764,0.481463,0.0632404,0.634561,-0.705539,0,0,0.0116399,0.696367,0.248764,-0.0146843,-0.0133421,-0.136641,-0.000465352,0,0.25145,0.357637,0
0.014753,0.0781764,0.205378,-0.0518553,-0.0202114,-0.0847268,0.233441,0,0,-0.0352134,0.0151731,0.167516,0.0299544,-0.0211298,0.0199342,-0.0167856,0,-0.0639758,0.0234036,0
-0.00505296,0.481463,-0.0518553,1.52157,0.182384,0.305832,-0.254464,0,0,0.0349169,-0.0736656,-0.258774,-0.0341092,0.0525247,0.000122174,0.0131217,0,0.331514,0.156858,0
-0.225667,0.0632404,-0.0202114,0.182384,1.49718,0.325186,-0.107842,0,0,0.0375146,-0.0514647,0.531941,-0.0558667,0.0399025,0.124577,-0.0245168,0,0.242991,0.0457749,0
-0.0088442,0.634561,-0.0847268,0.305832,0.325186,2.05767,0.0885681,0,0,0.0514487,0.213735,0.352103,-0.065708,0.00884456,-0.0238622,-0.0244691,0,0.261878,0.381836,0
-0.375715,-0.705539,0.233441,-0.254464,-0.107842,0.0885681,3.14781,0,0,-0.0178789,-0.0349099,0.462028,0.000956333,-0.107087,0.0431178,-0.0614444,0,-0.284705,0.442219,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0146952,0.0116399,-0.0352134,0.0349169,0.0375146,0.0514487,-0.0178789,0,0,0.0346875,0.0151166,0.00221649,-0.037295,0.000206835,-0.0445457,-0.00725829,0,-0.0187713,-0.0119415,0
-0.270248,0.696367,0.0151731,-0.0736656,-0.0514647,0.213735,-0.0349099,0,0,0.0151166,3.08462,0.182787,-0.017148,0.0264122,0.0192918,-0.00127955,0,0.0589554,0.582756,0
0.0680585,0.248764,0.167516,-0.258774,0.531941,0.352103,0.462028,0,0,0.00221649,0.182787,3.42807,-0.0618031,-0.0313734,0.505053,-0.118958,0,-0.0770644,-0.00674177,0
-0.0317456,-0.0146843,0.0299544,-0.0341092,-0.0558667,-0.065708,0.000956333,0,0,-0.037295,-0.017148,-0.0618031,0.0456224,0.00410435,-0.00186876,0.0172351,0,0.0213799,0.00152149,0
-0.0493536,-0.0133421,-0.0211298,0.0525247,0.0399025,0.00884456,-0.107087,0,0,0.000206835,0.0264122,-0.0313734,0.00410435,0.0498902,-0.0092711,0.00975346,0,0.00585345,-0.0461978,0
0.0149542,-0.136641,0.0199342,0.000122174,0.124577,-0.0238622,0.0431178,0,0,-0.0445457,0.0192918,0.505053,-0.00186876,-0.0092711,0.866162,-0.0533331,0,0.0277157,0.244008,0
-0.0195659,-0.000465352,-0.0167856,0.0131217,-0.0245168,-0.0244691,-0.0614444,0,0,-0.00725829,-0.00127955,-0.118958,0.0172351,0.00975346,-0.0533331,0.0237458,0,0.0137164,-0.0136552,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.0489843,0.25145,-0.0639758,0.331514,0.242991,0.261878,-0.284705,0,0,-0.0187713,0.0589554,-0.0770644,0.0213799,0.00585345,0.0277157,0.0137164,0,1.60936,0.032593,0
0.0883894,0.357637,0.0234036,0.156858,0.0457749,0.381836,0.442219,0,0,-0.0119415,0.582756,-0.00674177,0.00152149,-0.0461978,0.244008,-0.0136552,0,0.032593,2.74956,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
