index,S:all,I1:all,I2:all,R1:all,R2:all,S1:all,S2:all,I12:all,I21:all,beta:all,psi:all,i:all,gamma:all,alpha:all,e:all,d:all,sto:all,rep:MadeiraMildCases__ecdc__inc,rep:MadeiraSevereCases__ecdc__inc,phi:all,log_like
0,0.954334,1.1312e-08,0.000318487,7.01876e-07,0.017499,1.65006e-08,0.00412469,0,0,10.4958,1.05154,8.71146e-13,2.03747,212.605,0.570459,-0.793686,0.1,0.699854,0.975092,0.1,214.022
1,0.954334,1.1312e-08,0.000318487,7.01876e-07,0.017499,1.65006e-08,0.00412469,0,0,10.4958,1.05154,8.71146e-13,2.03747,212.605,0.570459,-0.793686,0.1,0.699854,0.975092,0.1,214.022
2,0.954334,1.1312e-08,0.000318487,7.01876e-07,0.017499,1.65006e-08,0.00412469,0,0,10.4958,1.05154,8.71146e-13,2.03747,212.605,0.570459,-0.793686,0.1,0.699854,0.975092,0.1,214.022
3,0.954334,1.1312e-08,0.000318487,7.01876e-07,0.017499,1.65006e-08,0.00412469,0,0,10.4958,1.05154,8.71146e-13,2.03747,212.605,0.570459,-0.793686,0.1,0.699854,0.975092,0.1,214.022
4,0.954334,1.1312e-08,0.000318487,7.01876e-07,0.017499,1.65006e-08,0.00412469,0,0,10.4958,1.05154,8.71146e-13,2.03747,212.605,0.570459,-0.793686,0.1,0.699854,0.975092,0.1,214.022
5,0.954334,1.1312e-08,0.000318487,7.01876e-07,0.017499,1.65006e-08,0.00412469,0,0,10.4958,1.05154,8.71146e-13,2.03747,212.605,0.570459,-0.793686,0.1,0.699854,0.975092,0.1,214.022
6,0.954334,1.1312e-08,0.000318487,7.01876e-07,0.017499,1.65006e-08,0.00412469,0,0,10.4958,1.05154,8.71146e-13,2.03747,212.605,0.570459,-0.793686,0.1,0.699854,0.975092,0.1,214.022
7,0.954334,1.1312e-08,0.000318487,7.01876e-07,0.017499,1.65006e-08,0.00412469,0,0,10.4958,1.05154,8.71146e-13,2.03747,212.605,0.570459,-0.793686,0.1,0.699854,0.975092,0.1,214.022
8,0.954334,1.1312e-08,0.000318487,7.01876e-07,0.017499,1.65006e-08,0.00412469,0,0,10.4958,1.05154,8.71146e-13,2.03747,212.605,0.570459,-0.793686,0.1,0.699854,0.975092,0.1,214.022
9,0.954334,1.1312e-08,0.000318487,7.01876e-07,0.017499,1.65006e-08,0.00412469,0,0,10.4958,1.05154,8.71146e-13,2.03747,212.605,0.570459,-0.793686,0.1,0.699854,0.975092,0.1,214.022
10,0.954334,1.1312e-08,0.000318487,7.01876e-07,0.017499,1.65006e-08,0.00412469,0,0,10.4958,1.05154,8.71146e-13,2.03747,212.605,0.570459,-0.793686,0.1,0.699854,0.975092,0.1,214.022
11,0.95606,4.77828e-09,0.000233179,4.26607e-07,0.0104716,4.79942e-09,0.00356247,0,0,12.1323,0.476259,2.83864e-13,1.98842,240.174,0.514737,-0.752634,0.1,0.736342,0.962766,0.1,218.438
12,0.95606,4.77828e-09,0.000233179,4.26607e-07,0.0104716,4.79942e-09,0.00356247,0,0,12.1323,0.476259,2.83864e-13,1.98842,240.174,0.514737,-0.752634,0.1,0.736342,0.962766,0.1,218.438
13,0.955153,8.25436e-09,0.000391642,3.60951e-07,0.00966109,6.11055e-09,0.00441744,0,0,11.9524,0.250578,3.02392e-13,2.05012,268.965,0.52903,-0.731176,0.1,0.640962,0.942585,0.1,215.934
14,0.955153,8.25436e-09,0.000391642,3.60951e-07,0.00966109,6.11055e-09,0.00441744,0,0,11.9524,0.250578,3.02392e-13,2.05012,268.965,0.52903,-0.731176,0.1,0.640962,0.942585,0.1,215.934
15,0.955153,8.25436e-09,0.000391642,3.60951e-07,0.00966109,6.11055e-09,0.00441744,0,0,11.9524,0.250578,3.02392e-13,2.05012,268.965,0.52903,-0.731176,0.1,0.640962,0.942585,0.1,215.934
16,0.955153,8.25436e-09,0.000391642,3.60951e-07,0.00966109,6.11055e-09,0.00441744,0,0,11.9524,0.250578,3.02392e-13,2.05012,268.965,0.52903,-0.731176,0.1,0.640962,0.942585,0.1,215.934
17,0.955153,8.25436e-09,0.000391642,3.60951e-07,0.00966109,6.11055e-09,0.00441744,0,0,11.9524,0.250578,3.02392e-13,2.05012,268.965,0.52903,-0.731176,0.1,0.640962,0.942585,0.1,215.934
18,0.955153,8.25436e-09,0.000391642,3.60951e-07,0.00966109,6.11055e-09,0.00441744,0,0,11.9524,0.250578,3.02392e-13,2.05012,268.965,0.52903,-0.731176,0.1,0.640962,0.942585,0.1,215.934
19,0.960102,1.0162e-08,0.000391617,3.14266e-07,0.00634244,4.24841e-09,0.00122695,0,0,10.7895,0.512993,3.61083e-13,2.22562,416.671,0.55493,-0.731571,0.1,0.761831,0.928562,0.1,218.739
20,0.960102,1.0162e-08,0.000391617,3.14266e-07,0.00634244,4.24841e-09,0.00122695,0,0,10.7895,0.512993,3.61083e-13,2.22562,416.671,0.55493,-0.731571,0.1,0.761831,0.928562,0.1,218.739
21,0.960102,1.0162e-08,0.000391617,3.14266e-07,0.00634244,4.24841e-09,0.00122695,0,0,10.7895,0.512993,3.61083e-13,2.22562,416.671,0.55493,-0.731571,0.1,0.761831,0.928562,0.1,218.739
22,0.960102,1.0162e-08,0.000391617,3.14266e-07,0.00634244,4.24841e-09,0.00122695,0,0,10.7895,0.512993,3.61083e-13,2.22562,416.671,0.55493,-0.731571,0.1,0.761831,0.928562,0.1,218.739
23,0.960102,1.0162e-08,0.000391617,3.14266e-07,0.00634244,4.24841e-09,0.00122695,0,0,10.7895,0.512993,3.61083e-13,2.22562,416.671,0.55493,-0.731571,0.1,0.761831,0.928562,0.1,218.739
24,0.964786,1.41168e-08,0.000302108,4.78966e-07,0.00680448,6.17542e-09,0.00152826,0,0,10.8601,0.610688,2.35501e-13,2.12468,376.901,0.573161,-0.740616,0.1,0.783424,0.955489,0.1,219.218
25,0.964786,1.41168e-08,0.000302108,4.78966e-07,0.00680448,6.17542e-09,0.00152826,0,0,10.8601,0.610688,2.35501e-13,2.12468,376.901,0.573161,-0.740616,0.1,0.783424,0.955489,0.1,219.218
26,0.964786,1.41168e-08,0.000302108,4.78966e-07,0.00680448,6.17542e-09,0.00152826,0,0,10.8601,0.610688,2.35501e-13,2.12468,376.901,0.573161,-0.740616,0.1,0.783424,0.955489,0.1,219.218
27,0.964786,1.41168e-08,0.000302108,4.78966e-07,0.00680448,6.17542e-09,0.00152826,0,0,10.8601,0.610688,2.35501e-13,2.12468,376.901,0.573161,-0.740616,0.1,0.783424,0.955489,0.1,219.218
28,0.964786,1.41168e-08,0.000302108,4.78966e-07,0.00680448,6.17542e-09,0.00152826,0,0,10.8601,0.610688,2.35501e-13,2.12468,376.901,0.573161,-0.740616,0.1,0.783424,0.955489,0.1,219.218
29,0.966911,2.38369e-08,0.000246767,2.84518e-07,0.0075837,1.17502e-08,0.00146846,0,0,11.8221,0.171214,1.00227e-13,2.08308,354.632,0.502322,-0.73111,0.1,0.703928,0.941338,0.1,219.358
30,0.96989,1.49101e-08,0.000254449,1.14466e-07,0.00475037,1.41902e-08,0.00836643,0,0,10.4317,0.130667,1.56949e-13,2.29677,297.691,0.553105,-0.739625,0.1,0.686548,0.916182,0.1,218.436
31,0.96989,1.49101e-08,0.000254449,1.14466e-07,0.00475037,1.41902e-08,0.00836643,0,0,10.4317,0.130667,1.56949e-13,2.29677,297.691,0.553105,-0.739625,0.1,0.686548,0.916182,0.1,218.436
32,0.96989,1.49101e-08,0.000254449,1.14466e-07,0.00475037,1.41902e-08,0.00836643,0,0,10.4317,0.130667,1.56949e-13,2.29677,297.691,0.553105,-0.739625,0.1,0.686548,0.916182,0.1,218.436
33,0.96989,1.49101e-08,0.000254449,1.14466e-07,0.00475037,1.41902e-08,0.00836643,0,0,10.4317,0.130667,1.56949e-13,2.29677,297.691,0.553105,-0.739625,0.1,0.686548,0.916182,0.1,218.436
34,0.96989,1.49101e-08,0.000254449,1.14466e-07,0.00475037,1.41902e-08,0.00836643,0,0,10.4317,0.130667,1.56949e-13,2.29677,297.691,0.553105,-0.739625,0.1,0.686548,0.916182,0.1,218.436
35,0.96989,1.49101e-08,0.000254449,1.14466e-07,0.00475037,1.41902e-08,0.00836643,0,0,10.4317,0.130667,1.56949e-13,2.29677,297.691,0.553105,-0.739625,0.1,0.686548,0.916182,0.1,218.436
36,0.96989,1.49101e-08,0.000254449,1.14466e-07,0.00475037,1.41902e-08,0.00836643,0,0,10.4317,0.130667,1.56949e-13,2.29677,297.691,0.553105,-0.739625,0.1,0.686548,0.916182,0.1,218.436
37,0.96989,1.49101e-08,0.000254449,1.14466e-07,0.00475037,1.41902e-08,0.00836643,0,0,10.4317,0.130667,1.56949e-13,2.29677,297.691,0.553105,-0.739625,0.1,0.686548,0.916182,0.1,218.436
38,0.96989,1.49101e-08,0.000254449,1.14466e-07,0.00475037,1.41902e-08,0.00836643,0,0,10.4317,0.130667,1.56949e-13,2.29677,297.691,0.553105,-0.739625,0.1,0.686548,0.916182,0.1,218.436
39,0.96989,1.49101e-08,0.000254449,1.14466e-07,0.00475037,1.41902e-08,0.00836643,0,0,10.4317,0.130667,1.56949e-13,2.29677,297.691,0.553105,-0.739625,0.1,0.686548,0.916182,0.1,218.436
40,0.96989,1.49101e-08,0.000254449,1.14466e-07,0.00475037,1.41902e-08,0.00836643,0,0,10.4317,0.130667,1.56949e-13,2.29677,297.691,0.553105,-0.739625,0.1,0.686548,0.916182,0.1,218.436
41,0.983725,2.41869e-08,0.000193136,2.0954e-07,0.00703255,3.20682e-08,0.00228055,0,0,10.9118,0.063623,8.21515e-14,2.16547,264.389,0.506456,-0.763527,0.1,0.733147,0.914631,0.1,217.248
42,0.983725,2.41869e-08,0.000193136,2.0954e-07,0.00703255,3.20682e-08,0.00228055,0,0,10.9118,0.063623,8.21515e-14,2.16547,264.389,0.506456,-0.763527,0.1,0.733147,0.914631,0.1,217.248
